uf,setor,mes_ano,admissoes,desligamentos,saldo,salario_medio,massa_salarial
SP,Extrativa Mineral,2023-10,4050,3359,691,6445.6,23877725.2
SP,Extrativa Mineral,2023-11,3907,3729,178,6255.05,23881780.9
SP,Extrativa Mineral,2023-12,4102,4471,-369,6569.01,28158061.37
SP,Extrativa Mineral,2024-01,3577,2930,647,6104.77,19861869.2
SP,Extrativa Mineral,2024-02,3598,2982,616,6492.53,21360423.7
SP,Extrativa Mineral,2024-03,3504,3275,229,5901.31,20002490.25
SP,Extrativa Mineral,2024-04,3060,2981,79,6641.34,20060167.47
SP,Extrativa Mineral,2024-05,3149,3269,-120,6089.76,19542039.84
SP,Extrativa Mineral,2024-06,3730,3825,-95,6660.83,25161285.32
SP,Extrativa Mineral,2024-07,3781,3745,36,6014.74,22633466.62
SP,Extrativa Mineral,2024-08,3398,3312,86,6510.24,21841855.2
SP,Extrativa Mineral,2024-09,4085,3870,215,6470.7,25737209.25
SP,Extrativa Mineral,2024-10,3205,2778,427,6363.88,19037547.02
SP,Extrativa Mineral,2024-11,4094,4351,-257,6296.81,26588280.23
SP,Extrativa Mineral,2024-12,3151,3152,-1,6643.66,20937494.49
SP,Construção Civil,2023-01,11392,12240,-848,2573.43,30407648.88
SP,Construção Civil,2023-02,10222,10655,-433,2645.77,27617870.14
SP,Construção Civil,2023-03,9544,7675,1869,2505.87,21574287.77
SP,Construção Civil,2023-04,11721,9557,2164,2587.29,27526178.31
SP,Construção Civil,2023-05,10038,10347,-309,2478.72,25264353.6
SP,Construção Civil,2023-06,10532,9461,1071,2572.64,25717395.76
SP,Construção Civil,2023-07,9952,8323,1629,2790.69,25499929.88
SP,Construção Civil,2023-08,10725,11169,-444,2522.02,27608552.94
SP,Construção Civil,2023-09,10561,9822,739,2583.71,26331880.46
SP,Construção Civil,2023-10,10809,10847,-38,2493.49,26999509.72
SP,Construção Civil,2023-11,10182,8742,1440,2781.45,26318079.9
SP,Construção Civil,2023-12,9067,8735,332,2753.58,24509615.58
SP,Construção Civil,2024-01,10348,10621,-273,2533.72,26564787.34
SP,Construção Civil,2024-02,11164,11871,-707,2513.65,28950963.88
SP,Construção Civil,2024-03,10594,10971,-377,2644.7,28516477.75
SP,Construção Civil,2024-04,11938,10124,1814,2755.4,30394817.4
SP,Construção Civil,2024-05,10153,9417,736,2609.96,25538458.6
SP,Construção Civil,2024-06,9172,8176,996,2586.29,22433479.46
SP,Construção Civil,2024-07,9754,9259,495,2733.72,25988109.18
SP,Construção Civil,2024-08,10234,9623,611,2580.12,25616721.42
SP,Construção Civil,2024-09,10443,8730,1713,2739.25,26259820.12
SP,Construção Civil,2024-10,11434,11946,-512,2756.58,32224420.2
SP,Construção Civil,2024-11,9653,10484,-831,2766.97,27859237.44
SP,Construção Civil,2024-12,10958,10107,851,2734.76,28803859.7
SP,Serviços Industriais de Utilidade Pública,2023-01,2651,2653,-2,5159.79,13683763.08
SP,Serviços Industriais de Utilidade Pública,2023-02,2293,1942,351,4910.69,10398386.07
SP,Serviços Industriais de Utilidade Pública,2023-03,2452,2357,95,4628.45,11129108.03
SP,Serviços Industriais de Utilidade Pública,2023-04,2555,2470,85,4914.46,12347580.75
SP,Serviços Industriais de Utilidade Pública,2023-05,2194,1949,245,4727.29,9792581.23
SP,Serviços Industriais de Utilidade Pública,2023-06,2440,2026,414,4724.56,10549942.48
SP,Serviços Industriais de Utilidade Pública,2023-07,2727,2321,406,4987.16,12587591.84
SP,Serviços Industriais de Utilidade Pública,2023-08,2586,2629,-43,4675.75,12192018.12
SP,Serviços Industriais de Utilidade Pública,2023-09,2493,2373,120,4732.71,11514683.43
SP,Serviços Industriais de Utilidade Pública,2023-10,2642,2344,298,4756.31,11857480.83
SP,Serviços Industriais de Utilidade Pública,2023-11,2227,1823,404,4816.86,9754141.5
SP,Serviços Industriais de Utilidade Pública,2023-12,2686,2774,-88,4818.67,13154969.1
SP,Serviços Industriais de Utilidade Pública,2024-01,2051,1700,351,4574.34,8579174.67
SP,Serviços Industriais de Utilidade Pública,2024-02,2128,2140,-12,4919.72,10498682.48
SP,Serviços Industriais de Utilidade Pública,2024-03,2713,2455,258,5046.57,13040336.88
SP,Serviços Industriais de Utilidade Pública,2024-04,2477,2468,9,4943.85,12223669.12
SP,Serviços Industriais de Utilidade Pública,2024-05,2705,2420,285,4694.56,12029810.0
SP,Serviços Industriais de Utilidade Pública,2024-06,2373,2595,-222,5108.12,12688570.08
SP,Serviços Industriais de Utilidade Pública,2024-07,2534,2681,-147,4985.2,12998909.0
SP,Serviços Industriais de Utilidade Pública,2024-08,2705,2479,226,5150.97,13351314.24
SP,Serviços Industriais de Utilidade Pública,2024-09,2296,2343,-47,4832.53,11209053.33
SP,Serviços Industriais de Utilidade Pública,2024-10,2057,2074,-17,4740.68,9791874.54
SP,Serviços Industriais de Utilidade Pública,2024-11,2729,2838,-109,4636.32,12905196.72
SP,Serviços Industriais de Utilidade Pública,2024-12,2592,2321,271,5123.45,12585754.92
MG,Indústria de Transformação,2023-01,9721,8775,946,3477.9,32163619.2
MG,Indústria de Transformação,2023-02,10238,8536,1702,3503.58,32888105.46
MG,Indústria de Transformação,2023-03,8500,7120,1380,3386.49,26448486.9
MG,Indústria de Transformação,2023-04,10025,9992,33,3242.73,32454863.21
MG,Indústria de Transformação,2023-05,9825,8909,916,3399.77,31845645.59
MG,Indústria de Transformação,2023-06,8849,8196,653,3327.05,28354783.62
MG,Indústria de Transformação,2023-07,8520,8203,317,3522.41,29452631.21
MG,Indústria de Transformação,2023-08,10851,10906,-55,3405.41,37045752.68
MG,Indústria de Transformação,2023-09,8894,7509,1385,3240.33,26575566.5
MG,Indústria de Transformação,2023-10,8957,8452,505,3346.61,29130566.75
MG,Indústria de Transformação,2023-11,9066,9820,-754,3492.39,32978638.77
MG,Indústria de Transformação,2023-12,10577,10216,361,3517.39,36568545.13
MG,Indústria de Transformação,2024-01,10928,10427,501,3347.23,35740048.33
MG,Indústria de Transformação,2024-02,9983,10246,-263,3370.33,34089202.78
MG,Indústria de Transformação,2024-03,10054,8077,1977,3662.33,33200852.61
MG,Indústria de Transformação,2024-04,9515,10381,-866,3530.18,35118230.64
MG,Indústria de Transformação,2024-05,10642,11473,-831,3630.47,40143922.02
MG,Indústria de Transformação,2024-06,9309,10173,-864,3650.34,35557961.94
MG,Indústria de Transformação,2024-07,8829,9259,-430,3381.91,30585994.04
MG,Indústria de Transformação,2024-08,8738,7931,807,3511.56,29267096.82
MG,Indústria de Transformação,2024-09,9740,9177,563,3578.57,33847904.34
MG,Indústria de Transformação,2024-10,9832,8419,1413,3507.58,32008421.29
MG,Indústria de Transformação,2024-11,8602,9188,-586,3650.1,32467639.5
MG,Indústria de Transformação,2024-12,10503,11033,-530,3540.44,38123457.92
MG,Extrativa Mineral,2023-01,2090,2072,18,5957.87,12398327.47
MG,Extrativa Mineral,2023-02,1846,1881,-35,6001.2,11183236.2
MG,Extrativa Mineral,2023-03,2057,2261,-204,5904.79,12748441.61
MG,Extrativa Mineral,2023-04,1757,1852,-95,6359.4,11475537.3
MG,Extrativa Mineral,2023-05,1961,2130,-169,6196.75,12675452.12
MG,Extrativa Mineral,2023-06,2186,2087,99,6409.1,13693042.15
MG,Extrativa Mineral,2023-07,1723,1641,82,5958.94,10022937.08
MG,Extrativa Mineral,2023-08,2053,1847,206,6100.72,11896404.0
MG,Extrativa Mineral,2023-09,1655,1618,37,6524.52,10677376.98
MG,Extrativa Mineral,2023-10,1725,1531,194,6326.18,10299021.04
MG,Extrativa Mineral,2023-11,1837,2005,-168,6042.09,11606854.89
MG,Extrativa Mineral,2023-12,2062,1655,407,6378.4,11854256.4
MG,Extrativa Mineral,2024-01,1908,1768,140,6544.58,12028938.04
MG,Extrativa Mineral,2024-02,2151,2352,-201,6693.43,15070257.65
MG,Extrativa Mineral,2024-03,1730,1651,79,6034.78,10201795.59
MG,Extrativa Mineral,2024-04,1942,1649,293,6605.08,11859421.14
MG,Extrativa Mineral,2024-05,1928,2052,-124,6408.58,12753074.2
MG,Extrativa Mineral,2024-06,1633,1489,144,6186.61,9657298.21
MG,Extrativa Mineral,2024-07,1756,1486,270,6381.67,10344687.07
MG,Extrativa Mineral,2024-08,1704,1866,-162,6280.56,11210799.6
MG,Extrativa Mineral,2024-09,2135,2173,-38,3718.35,6006994.42
MG,Extrativa Mineral,2024-10,1987,1975,12,6170.33,12223423.73
MG,Extrativa Mineral,2024-11,2155,1802,353,6308.27,12480912.2
MG,Extrativa Mineral,2024-12,2109,2119,-10,6257.48,13228312.72
MG,Construção Civil,2023-01,5743,4736,1007,2733.32,14321230.14
MG,Construção Civil,2023-02,4907,4654,253,2575.46,12311986.53
MG,Construção Civil,2023-03,6025,5228,797,2579.85,14515526.03
MG,Construção Civil,2023-04,5610,5046,564,2776.6,14793724.8
MG,Construção Civil,2023-05,5976,6317,-341,2606.24,16019254.16
MG,Construção Civil,2023-06,5056,5267,-211,2544.42,13133023.83
MG,Construção Civil,2023-07,5917,5352,565,2736.07,15416386.42
MG,Construção Civil,2023-08,5448,5671,-223,2598.99,14449084.9
MG,Construção Civil,2023-09,5019,5133,-114,2692.01,13664642.76
MG,Construção Civil,2023-10,4974,4378,596,2752.45,12870456.2
MG,Construção Civil,2023-11,5297,5574,-277,2620.22,14242205.81
MG,Construção Civil,2023-12,5004,4944,60,2549.19,12679671.06
MG,Construção Civil,2024-01,6393,6190,203,2511.65,15802045.98
MG,Construção Civil,2024-02,5253,4924,329,2605.62,13258697.37
MG,Construção Civil,2024-03,4796,4867,-71,2697.85,13034662.28
MG,Construção Civil,2024-04,5325,5344,-19,2781.94,14840258.93
MG,Construção Civil,2024-05,6286,6626,-340,2792.02,18025281.12
MG,Construção Civil,2024-06,5881,5668,213,2540.95,14672715.77
MG,Construção Civil,2024-07,5351,4811,540,2781.94,14135037.14
MG,Construção Civil,2024-08,5977,4800,1177,2658.92,14327590.42
MG,Construção Civil,2024-09,5183,4665,518,2687.8,13234727.2
MG,Construção Civil,2024-10,5456,5638,-182,2630.87,14593435.89
MG,Construção Civil,2024-11,6253,5637,616,2482.67,14759473.15
MG,Construção Civil,2024-12,5129,4289,840,2757.94,12987139.46
MG,Serviços Industriais de Utilidade Pública,2023-01,1191,959,232,4690.56,5042352.0
MG,Serviços Industriais de Utilidade Pública,2023-02,1263,1115,148,4953.23,5889390.47
MG,Serviços Industriais de Utilidade Pública,2023-03,1118,1126,-8,4896.31,5493659.82
MG,Serviços Industriais de Utilidade Pública,2023-04,1092,904,188,4765.91,4756378.18
MG,Serviços Industriais de Utilidade Pública,2023-05,1172,1100,72,4938.2,5609795.2
MG,Serviços Industriais de Utilidade Pública,2023-06,1153,1029,124,4914.2,5361392.2
MG,Serviços Industriais de Utilidade Pública,2023-07,1361,1366,-5,4908.91,6693298.79
MG,Serviços Industriais de Utilidade Pública,2023-08,1129,994,135,4821.79,5118330.08
MG,Serviços Industriais de Utilidade Pública,2023-09,1159,1182,-23,5176.82,6059467.81
MG,Serviços Industriais de Utilidade Pública,2023-10,1467,1574,-107,4970.52,7557675.66
MG,Serviços Industriais de Utilidade Pública,2023-11,1219,1102,117,4938.52,5731152.46
MG,Serviços Industriais de Utilidade Pública,2023-12,1186,1263,-77,5083.51,6224758.0
MG,Serviços Industriais de Utilidade Pública,2024-01,1102,1043,59,4573.59,4905175.28
MG,Serviços Industriais de Utilidade Pública,2024-02,1398,1224,174,5031.1,6595772.1
MG,Serviços Industriais de Utilidade Pública,2024-03,1164,1026,138,5085.56,5568688.2
MG,Serviços Industriais de Utilidade Pública,2024-04,1241,1074,167,4593.81,5317335.08
MG,Serviços Industriais de Utilidade Pública,2024-05,1245,1020,225,5010.57,5674470.52
MG,Serviços Industriais de Utilidade Pública,2024-06,1341,1347,-6,5037.89,6770924.16
MG,Serviços Industriais de Utilidade Pública,2024-07,1202,1135,67,4616.61,5394508.78
MG,Serviços Industriais de Utilidade Pública,2024-08,1283,1227,56,4762.86,5977389.3
MG,Serviços Industriais de Utilidade Pública,2024-09,1210,1091,119,4673.04,5376332.52
MG,Serviços Industriais de Utilidade Pública,2024-10,1467,1553,-86,4668.79,7049872.9
MG,Serviços Industriais de Utilidade Pública,2024-11,1186,1285,-99,5103.84,6305794.32
MG,Serviços Industriais de Utilidade Pública,2024-12,1287,1177,110,4626.37,5699687.84
RJ,Indústria de Transformação,2023-01,11154,9642,1512,3435.0,35717130.0
RJ,Indústria de Transformação,2023-02,9859,9389,470,3462.75,33325506.0
RJ,Indústria de Transformação,2023-03,10844,11250,-406,3349.64,37003473.08
RJ,Indústria de Transformação,2023-04,12011,11369,642,3477.03,40646480.7
RJ,Indústria de Transformação,2023-05,11903,10685,1218,3670.76,41457563.44
RJ,Indústria de Transformação,2023-06,10450,10288,162,3468.28,35962595.32
RJ,Indústria de Transformação,2023-07,9672,9337,335,3663.05,34815458.73
RJ,Indústria de Transformação,2023-08,11541,9687,1854,3590.62,38110840.68
RJ,Indústria de Transformação,2023-09,11308,9253,2055,3524.66,36235267.13
RJ,Indústria de Transformação,2023-10,9291,9633,-342,3645.91,34497600.42
RJ,Indústria de Transformação,2023-11,9759,8590,1169,3468.82,31824689.09
RJ,Indústria de Transformação,2023-12,10335,9685,650,3312.46,33157724.6
RJ,Indústria de Transformação,2024-01,9353,8003,1350,3298.02,28620217.56
RJ,Indústria de Transformação,2024-02,11257,10659,598,3471.36,38039162.88
RJ,Indústria de Transformação,2024-03,9273,8033,1240,3390.96,29341976.88
RJ,Indústria de Transformação,2024-04,10938,10278,660,3560.24,37767025.92
RJ,Indústria de Transformação,2024-05,9682,8688,994,3545.95,32569550.75
RJ,Indústria de Transformação,2024-06,9310,7469,1841,3271.84,27449101.68
RJ,Indústria de Transformação,2024-07,11078,11204,-126,3589.55,39991176.55
RJ,Indústria de Transformação,2024-08,10013,10283,-270,3302.4,33512755.2
RJ,Indústria de Transformação,2024-09,9799,10239,-440,3416.9,34233921.1
RJ,Indústria de Transformação,2024-10,10583,11111,-528,3305.44,35854107.68
RJ,Indústria de Transformação,2024-11,9907,10802,-895,3324.02,34418565.09
RJ,Indústria de Transformação,2024-12,9693,10638,-945,3416.51,34730532.41
RJ,Extrativa Mineral,2023-01,2110,2229,-119,6458.26,14011195.07
RJ,Extrativa Mineral,2023-02,2463,2435,28,6245.02,15294053.98
RJ,Extrativa Mineral,2023-03,2450,2405,45,5963.96,14477512.9
RJ,Extrativa Mineral,2023-04,2417,2469,-52,5983.38,14617397.34
RJ,Extrativa Mineral,2023-05,1887,1914,-27,6391.48,12147007.74
RJ,Extrativa Mineral,2023-06,1938,1650,288,6406.73,11493673.62
RJ,Extrativa Mineral,2023-07,1958,2123,-165,6682.33,13635294.37
RJ,Extrativa Mineral,2023-08,1855,2024,-169,6412.44,12436927.38
RJ,Extrativa Mineral,2023-09,2428,2517,-89,6121.42,15135210.95
RJ,Extrativa Mineral,2023-10,2072,1663,409,6309.94,11783812.95
RJ,Extrativa Mineral,2023-11,2410,2535,-125,6283.47,15535879.58
RJ,Extrativa Mineral,2023-12,1925,1998,-73,6341.08,12438028.42
RJ,Extrativa Mineral,2024-01,2464,2308,156,6380.48,15223825.28
RJ,Extrativa Mineral,2024-02,2220,2395,-175,6430.04,14837317.3
RJ,Extrativa Mineral,2024-03,2047,1794,253,6439.72,12367482.26
RJ,Extrativa Mineral,2024-04,2134,1928,206,6555.72,13314667.32
RJ,Extrativa Mineral,2024-05,2176,2086,90,5969.24,12720450.44
RJ,Extrativa Mineral,2024-06,2014,1633,381,6365.71,11607872.19
RJ,Extrativa Mineral,2024-07,1881,2025,-144,6344.89,12391570.17
RJ,Extrativa Mineral,2024-08,2086,2072,14,6353.43,13208780.97
RJ,Extrativa Mineral,2024-09,2132,2011,121,5907.7,12237800.55
RJ,Extrativa Mineral,2024-10,2418,2031,387,5974.75,13290831.38
RJ,Extrativa Mineral,2024-11,1895,1820,75,6095.49,11322372.67
RJ,Extrativa Mineral,2024-12,2465,2525,-60,5947.33,14838588.35
RJ,Construção Civil,2023-01,6492,5426,1066,2795.79,16660112.61
RJ,Construção Civil,2023-02,7065,7172,-107,2573.78,18321452.93
RJ,Construção Civil,2023-03,6244,5598,646,2773.07,16419347.47
RJ,Construção Civil,2023-04,6659,6126,533,2643.76,16900235.8
RJ,Construção Civil,2023-05,6958,6440,518,2635.27,17653673.73
RJ,Construção Civil,2023-06,6480,6036,444,2729.85,17083401.3
RJ,Construção Civil,2023-07,6467,6319,148,2633.2,16834047.6
RJ,Construção Civil,2023-08,5385,5835,-450,2600.04,14586224.4
RJ,Construção Civil,2023-09,5419,5091,328,2517.42,13229042.1
RJ,Construção Civil,2023-10,5810,5556,254,2560.35,14550469.05
RJ,Construção Civil,2023-11,6170,6296,-126,2478.89,15450921.37
RJ,Construção Civil,2023-12,6493,6207,286,2792.17,17730279.5
RJ,Construção Civil,2024-01,5585,5085,500,2543.28,13568398.8
RJ,Construção Civil,2024-02,5498,4678,820,2607.03,13264568.64
RJ,Construção Civil,2024-03,5564,4627,937,2804.6,14290839.3
RJ,Construção Civil,2024-04,6112,4900,1212,2536.47,13965803.82
RJ,Construção Civil,2024-05,5851,6085,-234,2647.36,15799444.48
RJ,Construção Civil,2024-06,7079,5842,1237,2526.66,16323486.93
RJ,Construção Civil,2024-07,7077,6125,952,2754.65,18183444.65
RJ,Construção Civil,2024-08,6872,15118,-8246,2773.99,18763268.36
RJ,Construção Civil,2024-09,6393,5182,1211,2794.45,16172879.37
RJ,Construção Civil,2024-10,7204,7262,-58,2754.22,19921273.26
RJ,Construção Civil,2024-11,6329,6836,-507,2793.46,18387950.45
RJ,Construção Civil,2024-12,7060,7696,-636,2689.85,19845713.3
RJ,Serviços Industriais de Utilidade Pública,2023-01,1643,1337,306,4616.84,6879091.6
RJ,Serviços Industriais de Utilidade Pública,2023-02,1505,1330,175,4564.56,6470263.8
RJ,Serviços Industriais de Utilidade Pública,2023-03,1490,1211,279,5137.07,6937613.03
RJ,Serviços Industriais de Utilidade Pública,2023-04,1254,1266,-12,4901.03,6175297.8
RJ,Serviços Industriais de Utilidade Pública,2023-05,1460,1394,66,4897.1,6988161.7
RJ,Serviços Industriais de Utilidade Pública,2023-06,1437,1172,265,4779.66,6235066.47
RJ,Serviços Industriais de Utilidade Pública,2023-07,1455,1366,89,4711.19,6645133.49
RJ,Serviços Industriais de Utilidade Pública,2023-08,1230,1126,104,4615.77,5437377.06
RJ,Serviços Industriais de Utilidade Pública,2023-09,1515,1293,222,4707.82,6609779.28
RJ,Serviços Industriais de Utilidade Pública,2023-10,1465,1393,72,4770.35,6816830.15
RJ,Serviços Industriais de Utilidade Pública,2023-11,1344,1335,9,4665.4,6249303.3
RJ,Serviços Industriais de Utilidade Pública,2023-12,1263,1140,123,5026.65,6039519.97
RJ,Serviços Industriais de Utilidade Pública,2024-01,1280,1385,-105,5098.31,6793498.08
RJ,Serviços Industriais de Utilidade Pública,2024-02,1560,1633,-73,4856.0,7752604.0
RJ,Serviços Industriais de Utilidade Pública,2024-03,1523,1532,-9,4761.17,7272687.17
RJ,Serviços Industriais de Utilidade Pública,2024-04,1437,1199,238,4560.94,6011318.92
RJ,Serviços Industriais de Utilidade Pública,2024-05,1387,1511,-124,4870.76,7057731.24
RJ,Serviços Industriais de Utilidade Pública,2024-06,1404,1361,43,4879.68,6746157.6
RJ,Serviços Industriais de Utilidade Pública,2024-07,1377,1408,-31,4928.95,6863562.88
RJ,Serviços Industriais de Utilidade Pública,2024-08,1504,1310,194,4795.4,6747127.8
RJ,Serviços Industriais de Utilidade Pública,2024-09,1329,1184,145,4981.49,6259242.18
RJ,Serviços Industriais de Utilidade Pública,2024-10,1517,1471,46,4751.49,7098726.06
RJ,Serviços Industriais de Utilidade Pública,2024-11,1453,1586,-133,4773.75,7253713.12
RJ,Serviços Industriais de Utilidade Pública,2024-12,1542,1564,-22,4928.1,7653339.3
RS,Indústria de Transformação,2023-01,6644,6254,390,3646.31,23515053.19
RS,Indústria de Transformação,2023-02,7431,7065,366,3522.66,25532239.68
RS,Indústria de Transformação,2023-03,6364,5334,1030,3500.94,20476998.06
RS,Indústria de Transformação,2023-04,6791,6263,528,3341.41,21809383.07
RS,Indústria de Transformação,2023-05,7079,6290,789,3296.55,22035788.48
RS,Indústria de Transformação,2023-06,7488,6001,1487,3489.57,23535404.87
RS,Indústria de Transformação,2023-07,6327,6640,-313,3426.18,22213638.03
RS,Indústria de Transformação,2023-08,6267,5737,530,3350.98,20112581.96
RS,Indústria de Transformação,2023-09,7781,7923,-142,3597.23,28245449.96
RS,Indústria de Transformação,2023-10,6661,6806,-145,3411.42,22970796.57
RS,Indústria de Transformação,2023-11,6760,6043,717,3304.32,21152604.48
RS,Indústria de Transformação,2023-12,7442,6021,1421,3324.29,22377458.13
RS,Indústria de Transformação,2024-01,7629,7734,-105,3565.9,27391460.85
RS,Indústria de Transformação,2024-02,6991,7412,-421,3523.79,25376573.68
RS,Indústria de Transformação,2024-03,6478,5379,1099,3400.24,20158322.84
RS,Indústria de Transformação,2024-04,7419,7369,50,3404.42,25172281.48
RS,Indústria de Transformação,2024-05,7451,6637,814,3469.97,24442468.68
RS,Indústria de Transformação,2024-06,8216,8282,-66,3383.65,27911728.85
RS,Indústria de Transformação,2024-07,8111,7079,1032,3454.83,26239433.85
RS,Indústria de Transformação,2024-08,6200,6115,85,3316.36,20420486.7
RS,Indústria de Transformação,2024-09,6486,6026,460,3486.57,21811981.92
RS,Indústria de Transformação,2024-10,7080,6460,620,3449.63,23353995.1
RS,Indústria de Transformação,2024-11,6247,5573,674,3245.98,19183741.8
RS,Indústria de Transformação,2024-12,7408,6676,732,3361.69,23673020.98
RS,Extrativa Mineral,2023-01,1402,1535,-133,6397.33,9394479.11
RS,Extrativa Mineral,2023-02,1455,1526,-71,6652.81,9916013.3
RS,Extrativa Mineral,2023-03,1347,1346,1,6661.18,8969278.87
RS,Extrativa Mineral,2023-04,1442,1513,-71,6172.68,9120134.7
RS,Extrativa Mineral,2023-05,1392,1205,187,6229.55,8089070.67
RS,Extrativa Mineral,2023-06,1409,1390,19,6623.1,9269028.45
RS,Extrativa Mineral,2023-07,1592,1655,-63,6340.73,10294175.15
RS,Extrativa Mineral,2023-08,1387,1468,-81,6587.21,9403242.28
RS,Extrativa Mineral,2023-09,1236,1076,160,6030.91,6971731.96
RS,Extrativa Mineral,2023-10,1490,1403,87,6546.13,9468977.04
RS,Extrativa Mineral,2023-11,1412,1209,203,5915.05,7751673.03
RS,Extrativa Mineral,2023-12,1260,1046,214,6065.18,6993152.54
RS,Extrativa Mineral,2024-01,1277,1252,25,6402.55,8096024.48
RS,Extrativa Mineral,2024-02,1653,1632,21,6225.59,10225531.58
RS,Extrativa Mineral,2024-03,1362,1456,-94,5967.95,8408841.55
RS,Extrativa Mineral,2024-04,1252,1129,123,6011.45,7156631.22
RS,Extrativa Mineral,2024-05,1495,1240,255,5975.02,8170839.85
RS,Extrativa Mineral,2024-06,1577,1675,-98,6336.89,10303783.14
RS,Extrativa Mineral,2024-07,1433,1401,32,5990.44,8488453.48
RS,Extrativa Mineral,2024-08,1373,1159,214,6265.81,7932515.46
RS,Extrativa Mineral,2024-09,1593,1321,272,6694.42,9753769.94
RS,Extrativa Mineral,2024-10,1567,1452,115,6653.47,10043412.96
RS,Extrativa Mineral,2024-11,1263,1270,-7,6230.97,7891523.5
RS,Extrativa Mineral,2024-12,1652,1540,112,5939.44,9479346.24
RS,Construção Civil,2023-01,4169,4269,-100,2807.22,11843661.18
RS,Construção Civil,2023-02,4083,3790,293,2493.22,9814560.53
RS,Construção Civil,2023-03,4468,4276,192,2613.52,11426309.44
RS,Construção Civil,2023-04,4011,3412,599,2759.52,10241958.48
RS,Construção Civil,2023-05,4329,4490,-161,2557.25,11276193.88
RS,Construção Civil,2023-06,4579,4742,-163,2704.86,12606000.03
RS,Construção Civil,2023-07,4029,4132,-103,2608.75,10645004.38
RS,Construção Civil,2023-08,4368,4251,117,2678.82,11544374.79
RS,Construção Civil,2023-09,3972,4199,-227,2762.96,11288073.08
RS,Construção Civil,2023-10,3961,4050,-89,2674.44,10712469.42
RS,Construção Civil,2023-11,3798,3515,283,2481.51,9073641.32
RS,Construção Civil,2023-12,4338,4156,182,2568.07,10906593.29
RS,Construção Civil,2024-01,4500,4773,-273,2540.28,11778008.22
RS,Construção Civil,2024-02,4744,4831,-87,2619.32,12539994.5
RS,Construção Civil,2024-03,4020,3839,181,2792.0,10971164.0
RS,Construção Civil,2024-04,3962,4206,-244,2553.42,10428167.28
RS,Construção Civil,2024-05,4726,4632,94,2584.12,12091097.48
RS,Construção Civil,2024-06,3970,4273,-303,2685.59,11068659.19
RS,Construção Civil,2024-07,4402,4057,345,2613.42,11053459.89
RS,Construção Civil,2024-08,4151,3789,362,2506.0,9948820.0
RS,Construção Civil,2024-09,4039,4229,-190,2615.54,10812642.36
RS,Construção Civil,2024-10,4426,4316,110,2662.46,11637612.66
RS,Construção Civil,2024-11,4021,4134,-113,2600.58,10603864.95
RS,Construção Civil,2024-12,4011,3510,501,2632.17,9898275.29
